序号,用户,评论,时间
0,大鱼龙猫,神乎其技！我嘴巴好半天都合不上，太厉害了啊！,5月4日 07:02
1,Butterfly_Kissfire,高人,5月4日 16:41
2,娓娓日记,崇拜了，厉害，高手在民间,5月4日 09:48
3,MD_V点点,太绝了太赞太赞,5月4日 08:01
4,欢乐宝贝儿,太厉害了,5月4日 07:54
5,且听今夏风吟,致敬大国工匠，传续经典！,5月4日 07:16
6,爱坤滴乐颜,工匠 震惊,5月4日 07:00
7,June__jj,致敬那些为传承中华优秀传统文化的匠人！,5月4日 13:13
8,梁松先生,哇偶,5月4日 12:09
9,白岒夜行,震撼！那样的镂空细节是怎么做到的！ 还有这么好的寓意,5月4日 11:46
10,骑着毛驴撞火车QQ,这就是工匠精神,5月4日 11:29
11,张瑜me,哇啊！现代张择端！,5月4日 11:02
12,番茄芝芝_,从他的话语神态中我都能感受到浓浓的热爱 做自己喜欢的事情即使再细微漫长也很幸福 这种感觉真棒啊,5月4日 09:23
13,何方妖孽14803,让我想起来了 穆斯林的葬礼里面的 雕玉师傅，尊敬！,5月4日 07:56
14,薛小样,原谅小子我没文化，只能用卧槽来表达,5月4日 07:21
15,静悄悄2012,高超技术，工匠，厉害👍🏻,5月4日 07:13
16,畅畅_SUN,赞,5月4日 07:09
17,冰糖炖雪梨yc,这就是大国工匠,5月4日 07:03
18,Minozxue,这四年谁知道他经历了什么，太厉害了，我们的四年又留下了什么,5月4日 06:59
19,乔小姐的玉兔先生,震撼,5月4日 06:53
20,查无此king,太厉害了👍,5月4日 06:52
21,Ga嘎呀,了不起了不起,5月5日 09:23
22,Karry酸了,致敬大国工匠！,5月5日 08:44
23,淡若晴浅,大国工匠,5月4日 21:28
24,mecki2009,叹为观止,5月4日 21:00
25,益往无前,太厉害了！,5月4日 19:49
26,Jadeitle,大国工匠！,5月4日 16:02
27,椒盐儿小姐姐,太厉害了吧，将来也会成为文物,5月4日 16:01
28,雷蘑,太厉害了,5月4日 15:27
29,山海相知,连天盖连！,5月4日 15:26
30,sunnysunnysunny888,在几个版本的《清明上河图》中，现收藏于故宫的北宋张择端的，是最优秀的！—— 艺术上更雅逸，气韵上更生气勃勃......,5月4日 14:53
31,野生安利KW,//:工匠精神体现的淋漓尽致//:传世之作致敬大国工匠！,5月4日 14:07
32,浅野小文,厉害！,5月4日 14:01
33,叫我大脸波波波,我的下巴掉了,5月4日 13:36
34,是时光让耳朵变得宽容,收徒不,5月4日 13:15
35,深海周记,真的太厉害了！！,5月4日 12:25
36,撩烊高级程序员,说牛逼这两个字感觉都玷污了这个作品,5月4日 12:16
37,光怪陆离的味道,匠人,5月4日 11:53
38,猪妖o_o,好牛逼啊！！！,5月4日 11:52
39,韵霏微,盛世出奇作！,5月4日 11:41
40,随风飘絮兮,哇！技艺高超，寓意也美好，真是太棒了！,5月4日 10:42
41,独爱爽妹妹,致敬大国工匠,5月4日 10:24
42,小小梦苏舒,太牛了,5月4日 10:22
43,安然anning,转发微博,5月4日 09:52
44,吃太胖会被杀死o,太牛了,5月4日 09:50
45,红小龙,请问这是展览在哪里呢？,5月4日 09:49
46,睿智灯塔,大国工匠，工匠精神，深不可测,5月4日 09:26
47,我是一只爱伦喵,真绝,5月4日 09:26
48,LING不负韶华,可以放到博物馆收藏了,5月4日 09:17
49,娱乐圈资深记者,万一着火,5月4日 09:15
50,我为和狂,匠心巨制，致敬大国工匠！,5月4日 09:10
51,墨是老詹球迷,太太太厉害了！！！,5月4日 08:57
52,EaTMORe_,真的太厉害了，简直不敢相信,5月4日 08:50
53,海河王我当定了,顶,5月4日 08:47
54,羊城风云,这是真雕,5月4日 08:43
55,一个小肉侬,这才是时代的偶像,5月4日 08:39
56,明月兮汐,太厉害了！！！,5月4日 08:39
57,黄照野从不吃香菇,牛逼,5月4日 08:37
58,奶茶多糖唐堂的糖,为郑先生点赞！为不朽的传统文化点赞！,5月4日 08:33
59,蘿拉LauraHan,好厉害！！！,5月4日 08:27
60,战战的小萝卜,厉害👍🏻,5月4日 08:26
61,刘怀云啊,我大中华多少传世之作被战争毁了,5月4日 08:24
62,小小天秤座XXXXXXX,太厉害了，大师,5月4日 08:18
63,清酒远昼,好厉害啊,5月4日 08:17
64,游龙若惊鸿,精益求精，传世巨作！,5月4日 08:12
65,杨姐姐不胖,敲厉害,5月4日 08:07
66,茜吖头儿,太厉害了，致敬大国工匠！,5月4日 08:06
67,小鱼小鱼蹦蹦跳,太震撼了！希望这样的手艺人，他们的手艺他们的工匠精神，能一直有人传承下去！不要断了！,5月4日 08:02
68,Yan婶,传世之作致敬大国工匠！,5月4日 08:01
69,废登_,好厉害,5月4日 07:59
70,RsnailMan,那个绳子，我惊呆了我靠,5月4日 07:57
71,木可山药,叹为观止！,5月4日 07:56
72,真是超级奈斯啊,看到最后我只能说哇靠太美太栩栩如生了吧！！！,5月4日 07:56
73,阿嘻嘻哒,服,5月4日 07:50
74,_乌咚面,真的很有心 很棒,5月4日 07:50
75,会弯腰的筷子,哇！！！太厉害了！！大国工匠！,5月4日 07:50
76,洲二复始,佩服！！！,5月4日 07:49
77,花瓣青文,太牛了，希望手艺有人传承下去！,5月4日 07:48
78,曹伟浩cwh,大家之作,5月4日 07:46
79,妖妖妖妖蛾子嗷,卧槽，打开之前我没想到能做到这种地步,5月4日 07:44
80,大队队长,工匠精神,5月4日 07:42
81,IIIllIllIIIlIIllIIIIIllIllIII,只希望后继有人，一定要传承下去啊！,5月4日 07:40
82,力寻切水瓶,莆田工艺是很出名的！我的老家仙游就是中国古典家具之都,5月4日 07:36
83,易凌_-,太绝了！,5月4日 07:35
84,老狗是禅秀色可参,牛逼牛逼,5月4日 07:33
85,stef-耳東咚咚咚,牛逼！,5月4日 07:32
86,东东大师兄,牛,5月4日 07:27
87,镂空Ming,这个跟在教室版用黑板画清明上河图的一样，都是艺术的结晶。,5月4日 07:24
88,愿你被岁月温柔以待Xback,大国工匠！致敬！,5月4日 07:24
89,糖糖团糖糖,传世之作，大国工匠,5月4日 07:24
90,医药美学,真正的大国工匠,5月4日 07:24
91,快乐是我的名字,弘扬大国工匠精神，向郑师傅致敬！愿祖国早日完成统一大业！愿我中华民族腾飞！,5月4日 07:24
92,Nuageebony,工匠精神,5月4日 07:21
93,明视日念,以后这也是一件文物，太惊叹了,5月4日 07:20
94,andreea9,👏👏大国工匠,5月4日 07:20
95,秦岚的影子,牛阿 大国工匠!,5月4日 07:19
96,未摘花落碾成泥,哇太厉害了！太好看了！,5月4日 07:18
97,不过是华籍美人,牛,5月4日 07:17
98,咕叽一吧唧,无奈我没文化只能说卧槽,5月4日 07:16
99,寂寞一直永远,我去厉害了,5月4日 07:15
100,如烟若梦旧时光,好厉害,5月4日 07:14
101,酱丫丫鸭鸭鸭鸭鸭鸭,高人,5月4日 07:13
102,小葡萄的无奈,好厉害啊，近景镜头看着栩栩如生,5月4日 07:09
103,六月093,高手在民间，厉害了,5月4日 07:09
104,LarryStylinsonIsSofkinReal,啊啊啊值得永久收藏的艺术品啊,5月5日 18:04
105,_One_day_24_,我大莆田优秀,5月5日 14:10
106,Moairly,中国四大木雕—莆田木雕！！n,5月5日 13:13
107,陈慢慢在这,加油,5月5日 10:14
108,那时风来了,昨天2:36赞过的视频，睡的太迟了吧,5月5日 09:56
109,小蓉爱旅行,我的天，厉害了,5月5日 09:50
110,许小七是我,👍,5月5日 08:54
111,lili家的俊味仙,莆田人的骄傲,5月5日 08:50
112,弗洛伊德也爱做梦,北京海淀区p2p平台有利网，债转停滞，到期100多天还不能退出，后台私自修改出借合同，把风险转嫁到出借人身上，上债权商城，收割出借人债权。全国17万出借人，100多亿资金，现在投诉无门，恳请相关部门帮帮我们。身为在湖北的人，疫情都扛过来了，这一次估计很难扛过去了，全部身家都在有利网里面。,5月5日 08:28
113,潘海洋56656,我大莆田厉害了,5月5日 08:19
114,霸占你是我的责任81280,莆田牛逼,5月5日 08:16
115,去冰三分糖的milkytea,真正的大国工匠,5月5日 08:09
116,唐建玺,匠心之作！,5月5日 06:45
117,胡松伊,厉害👍,5月5日 06:37
118,窝稀饭窝,厉害,5月4日 22:40
119,佛系在线追爱豆--03分队,太厉害了,5月4日 21:19
120,朦烟山的小布谷丶,牛逼,5月4日 20:59
121,Andylyl0205,真牛逼,5月4日 20:02
122,我是每逢,怎么做到的,5月4日 19:56
123,泥泥ingg,太厉害了,5月4日 19:54
124,白日梦的猫547,太厉害了！这个工匠精神！！赞,5月4日 19:40
125,全球普法网,真是聪明之人。敬礼。,5月4日 19:39
126,冬之懒哥,大国工匠，传世之作,5月4日 19:29
127,丛林一只喵,哇！,5月4日 19:24
128,RIP224,叹为观止,5月4日 19:12
129,F_Enchanted_,难以想象的难度,5月4日 19:09
130,V韓尛威,厉害了！,5月4日 19:07
131,长翅膀De_锦鲤_,高手高手高高手,5月4日 18:20
132,苏青1687,盼祖国早日统一,5月4日 18:15
133,最最最爱奶膘,致敬大师！真的无法想象的精致，钦佩！,5月4日 18:01
134,好骑兄弟,真的是美妙绝伦！无与伦比！,5月4日 17:58
135,山山在虚无缥缈间,人类真是了不起呀,5月4日 17:27
136,起不了床的喵,转发微博,5月4日 17:24
137,Mr_A的游戏,真的牛掰,5月4日 17:23
138,我是冬月的兔子,看的惊掉了下巴👏👏👏,5月4日 16:53
139,RaiwLi,能工巧匠,5月4日 16:47
140,杏花落疏离,咱大福建人才真的多呀~,5月4日 16:42
141,长生蛋兒,太棒了吧！,5月4日 16:35
142,我要去重庆鸭,国匠,5月4日 16:20
143,Angel-Tingyang,震撼,5月4日 16:02
144,puteyingyu,牛的一笔,5月4日 15:47
145,我是莉麗安,致敬！,5月4日 15:43
146,悯秋夜,大师！,5月4日 15:40
147,修行之舟的小号,我觉得我有生之年能够看见中国武力统一!,5月4日 15:34
148,暖xiao鱼9,真正的匠人精神,5月4日 15:26
149,非油腻中年健身狗,这才是工匠精神！,5月4日 15:23
150,海阔天空8128_576,大国工匠，太厉害了,5月4日 15:14
151,墨塘爱吃糖,太美了吧！！真的看着就费劲,5月4日 14:41
152,孟贰阳,好厉害,5月4日 14:16
153,金波罗老师,身体真好,5月4日 13:52
154,喵Lying,转发微博,5月4日 13:49
155,跌倒了爬起来再哭丶,无价之宝,5月4日 13:32
156,艾薇13,好厉害,5月4日 13:32
157,我是琳同学啊_,这手艺一定要传下去，太腻害了,5月4日 13:31
158,燕小乙II,太帅了,5月4日 13:27
159,一月十九昙耀,我现在知道从古至今为啥我们有那么多国宝了,5月4日 13:26
160,君名小王子,🐮🍺！！,5月4日 13:24
161,夏梵歷劫,我们福建的骄傲，必须点赞👍,5月4日 13:12
162,留住那一抹记忆,传世之作,5月4日 13:08
163,图样森破丶,这个细节神了,5月4日 13:03
164,小城格子方,真正的国之巨匠！佩服！,5月4日 13:02
165,白果果171,致敬,5月4日 12:59
166,墨色小窝,致敬大国工匠,5月4日 12:57
167,忘了,昨天看到一句话，有些东西买了也不属于你，顶多是替下一代保存一下,5月4日 12:56
168,小桥行云流水,台湾还有那么多中国文化的东西啊，想去看看，可是又担心，又想什么时候能在内地展示一些,5月4日 12:51
169,花怜199812,太伟大了，致敬！,5月4日 12:50
170,君不见归鸿,哇,5月4日 12:48
171,印象灬中,闲下来不知道该干啥,5月4日 12:46
172,小魔童97188,收下在下的双膝，太👍了,5月4日 12:39
173,丝草宝贝123,匠心匠造，这是对中国传统木雕文化的传承，也为我们上了一堂生动的文化课，爱国课。,5月4日 12:39
174,F哲斯风洛X,耐心，技术缺一不可啊，厉害,5月4日 12:36
175,近水远山抑扬之道,牛！,5月4日 12:35
176,云端_95341,厉害👍，艺术家,5月4日 12:33
177,大白菜快走开,啊啊啊啊我滴家乡,5月4日 12:28
178,天天熬夜的当代人,。。神仙作品,5月4日 12:23
179,四月芳菲尽516,化腐朽为神奇的佳作,5月4日 12:16
180,沁可儿爸爸,牛,5月4日 12:00
181,为了长肉饥不择食,我除了“巧夺天工”说不出来别的什么了,5月4日 11:59
182,Sail_yc,致敬,5月4日 11:54
183,分手后我很好阿,比流量明星好多了,5月4日 11:53
184,西北风369,高人一等,5月4日 11:46
185,snoopeh,我这种没读多少书的只能说。。。牛逼！！！！,5月4日 11:31
186,三秒钟的记忆Swd,这是一项伟大的工程，你创造了一个奇迹！,5月4日 11:29
187,落花时节sss,十分敬佩，真的很厉害,5月4日 11:22
188,法律大白,高手在民间,5月4日 11:21
189,马赛道708A,好厉害,5月4日 11:21
190,维维er安,好的东西需要保留，好的精神更需要传承。。。,5月4日 11:18
191,苏一星,高人啊，我接个这么细的木条都接不好，人家直接从木头里雕出来。,5月4日 11:13
192,妍迷YAN,这个太难太难了，太厉害了,5月4日 10:56
193,Sje_kj,起了一身鸡皮疙瘩  太震撼了吧,5月4日 10:55
194,zmmlll99,嘿嘿，好像之前在三坊七巷里面有看到这个木刻的清明上河图，还看了作者是我们莆田人，还和我一样姓郑,5月4日 10:54
195,彩云的快乐,这种艺术家要好好的珍惜,5月4日 10:51
196,破碎的影子2020,  我并不知道这次还会不会被删。 但我知道，我是不会放弃的！！ 为了网文作家们的尊严！！！,5月4日 10:50
197,z5y7j-s,佩服！真的是手艺人！希望螚传承下去！,5月4日 10:49
198,吴花果爸,这玩意落灰了，打理起来也难,5月4日 10:48
199,传奇人物张三丶,手艺人！！！,5月4日 10:45
200,耳東筱姐鉄孤凉,厉害了  最爱木头根雕艺术品,5月4日 10:40
201,盒和河,厉害,5月4日 10:39
202,LD_刘先生,向高手致敬,5月4日 10:27
203,xuchunliu585,这将会成为无价之宝！,5月4日 10:25
204,这个艾迪有人用吗,🐮,5月4日 10:23
205,沃顿logo光影灯,致敬大国工匠！,5月4日 10:21
206,春天来临之前201204,老俗套，自己原创才牛,5月4日 10:19
207,乔木依前,好大一棵树,5月4日 10:13
208,熠奕壹轶毅翊,我天，当我刚刚看到细节的时候，鸡皮疙瘩都起来了,5月4日 10:13
209,一窠松果,太厉害了,5月4日 10:12
210,七辻屋的鳗鱼烧,！！！,5月4日 10:12
211,vicky_2jr,看到有参观的小朋友，上了年纪的大朋友着急想问可以现场瞻仰吗？在哪里怎么报名？,5月4日 10:08
212,汪小喵有正能量,超赞,5月4日 10:07
213,我心尊主,匠人精神，值得称赞👍,5月4日 10:03
214,月眠呀,围观大佬。,5月4日 10:03
215,雪芳Sharon,哇哇哇，这也太赞了吧,5月4日 09:58
216,晶胜今世,牛逼,5月4日 09:57
217,陈珊-Coral,精诚大匠 敬佩,5月4日 09:53
218,wu与伦比的fayefree酱,厉害了  巨匠,5月4日 09:51
219,lelixi,太厉害啦，敬佩!,5月4日 09:49
220,胖胖的阿源啊,看得我人都傻了,5月4日 09:48
221,少女倩就是白高瘦OH,妈呀，真的是太了不起了，敬佩敬佩啊,5月4日 09:46
222,WLInE-,太厉害了👍,5月4日 09:46
223,诸葛子皿,太厉害了！！！,5月4日 09:43
224,-桃桃汽水乌龙茶-,我的天,5月4日 09:41
225,浅草芊芊,敬佩,5月4日 09:40
226,举头三尺有海阔天空_07,大国工匠！！！,5月4日 09:38
227,佛爷找媳妇,4年啊,5月4日 09:36
228,morale_lee,这才是我我们应该敬佩，追捧的大师工匠，厉害了👍👍👍👍👍👍,5月4日 09:32
229,CTS_water,霸气啊,5月4日 09:30
230,兔吐翁,高手在民间，真人有绝技,5月4日 09:30
231,泉城老狼,原谅本人没文化，一句卧槽评天下,5月4日 09:30
232,明媚小玮,转发微博,5月4日 09:29
233,槐树槐枝槐花,大师！,5月4日 09:28
234,金九爷是小九,哇！好厉害啊！！！,5月4日 09:28
235,嬔醢鼒,不就是膝盖嘛，拿去就是,5月4日 09:26
236,o_Yourself,太厉害了！！！,5月4日 09:24
237,九的三元,好厉害啊！！！,5月4日 09:23
238,晨星繁华,天啊，太厉害了,5月4日 09:23
239,奶茶半糖不加bing,大国工匠，致敬匠人精神,5月4日 09:22
240,____拾点十分,挺牛的,5月4日 09:21
241,沙砾和仙女,太牛了太牛了,5月4日 09:21
242,Ssugar衤彡,太厉害了,5月4日 09:19
243,要健康的机智张,太厉害了吧,5月4日 09:19
244,许译尹,好厉害,5月4日 09:18
245,不要抑郁啊不孤单,我的天,5月4日 09:18
246,流泪的天使71895,厉害,5月4日 09:13
247,尹尹尹尹生_,🐂呀.佩服,5月4日 09:12
248,20180520世界第一ADCUZI夺冠,卧槽,5月4日 09:07
249,成城红茶馆抖S大叔的事情,太强了,5月4日 09:07
250,刘鋭涵,高人啊,5月4日 09:06
251,雪怪kk,啊啊啊好牛逼啊,5月4日 09:05
252,梦醒已迟暮-seven,太牛了吧,5月4日 09:04
253,娓娓zhu,无价之宝,5月4日 09:03
254,朋美女,我在想，应该怎么才能保存的时间长一点，时间长了会不会腐烂掉？,5月4日 09:03
255,发光的李太阳,太棒了,5月4日 09:02
256,历史与历史书,大胡建，石雕、木雕、根雕、还有陶瓷等等，各种工匠聚集呀,5月4日 09:02
257,迷失的曼陀罗,牛🐮 掰,5月4日 09:00
258,娜比妞妞wow,大师啊,5月4日 09:00
259,谁来煽风谁来点火,膜拜大师～,5月4日 09:00
260,柳歌willow,中国的工匠精神，可以上巧手了，让更多人知道 南南康康呢 姐姐康康呢,5月4日 08:59
261,时光倒流的小女孩,厉害👍,5月4日 08:59
262,光辉女郎是一只蚂蚁,鬼斧神工啊,5月4日 08:59
263,骑着小绵羊追空投拿AWM去,这个是真厉害，传世之作,5月4日 08:58
264,另一个马芮芮芮呀,大国工匠，,5月4日 08:57
265,oO初见如梦Oo,太厉害了！！！,5月4日 08:56
266,有香橙棒棒糖的321锦荣,哇，哇，天哪，天哪！！！ 厉害成这样的人物，不知道每天都是以什么样的心情看待自己的大作吶～～,5月4日 08:56
267,2020要加油哇,卧槽！,5月4日 08:55
268,道德唬麒麟,致敬大国工匠,5月4日 08:54
269,哈弗去哪,这个真的牛逼，全国也没有第二个吧,5月4日 08:54
270,续回忆,太牛了,5月4日 08:53
271,人间神明婳,天哪！！！！！,5月4日 08:53
272,Echo宋宋,我只能发出一声卧槽太🐂🍺了，想去瞻仰一下,5月4日 08:52
273,JACKSON眼里的星星,厉害厉害！佩服得五体投地！,5月4日 08:50
274,AuuReee,才四年，就可以雕出两幅清明上河图，工匠精神，非你莫属,5月4日 08:49
275,声声不息1998,太棒了,5月4日 08:49
276,木木InTheSun,我大莆田终于有正面报道了！！！ 希望祖国早日统一！！,5月4日 08:48
277,林清流儿,男人的魅力就在于专心研究某一事物的样子,5月4日 08:48
278,木木InTheSun,我大如天，终于有正面报道了！！ 祖国早日统一啊啊啊！！！,5月4日 08:47
279,若莉若琪Happy,大师,5月4日 08:47
280,葡萄kitty,真的厉害 神人也,5月4日 08:47
281,三分浅笑七分冷傲,太厉害啦,5月4日 08:47
282,子軒的1314封情書,不仅仅是技术，更是坚持有耐力，高手中的感受，厉害👍🏻 。,5月4日 08:46
283,玲珑心hwanhee,无价宝呀,5月4日 08:45
284,一辰_Carina,太厉害！！致敬,5月4日 08:45
285,CH宏啊,立体的清明上河图啊,5月4日 08:43
286,小涓za,天哪！这个惊为天人了！太厉害👍充满敬意,5月4日 08:43
287,黄520婷,希望祖国早日统一，毫不夸张从小到大的梦想就是能看到祖国统一那一日,5月4日 08:43
288,任静mmmmmm,跪了,5月4日 08:43
289,小沄啊小沄,大国工匠,5月4日 08:42
290,Q多多-08,厉害,5月4日 08:42
291,鲸落_heaven,立体的啊，我还以为是浮雕呢，厉害👍🏻,5月4日 08:42
292,汪叽deWIFI,致敬大国工匠,5月4日 08:41
293,是你的朵拉呀,我以为是浮雕没想到是3D立体厉害！,5月4日 08:41
294,将夜Zy9,吾辈楷模,5月4日 08:41
295,没事拉拉筋,好厉害啊,5月4日 08:41
296,InhongYY,太厉害了,5月4日 08:41
297,Hanbo点滴,叹为观止！！,5月4日 08:40
298,Rewind丶风,工匠精神！,5月4日 08:39
299,小西瓜c2,给跪了,5月4日 08:39
300,不负光阴亦不负己,真正的艺术家吧,5月4日 08:38
301,819法拉利追锋,辛苦看得见,5月4日 08:38
302,只爱对瓶吹,牛逼,5月4日 08:37
303,一切有为法rumenghuan,无价之宝,5月4日 08:37
304,胡迪什么时候来找我玩,太厉害了！！！,5月4日 08:37
305,沫沫HMMM,离在民间，真腻害,5月4日 08:37
306,虾仁馄饨汤汁,太赞了！！我的天！！,5月4日 08:36
307,失魂鱼i,厉害👍🏻,5月4日 08:35
308,无知惊扰孟同学,民间工匠,5月4日 08:35
309,可爱的猪男孩,高手在人间,5月4日 08:34
310,可爱的猪男孩,高人在人间,5月4日 08:34
311,雷阵宇不下雨,真的太牛逼了,5月4日 08:33
312,Penguin-dolphin,太厉害了,5月4日 08:33
313,人心本无染丶,下巴都掉了,5月4日 08:32
314,杭州吴彦组,中国人精于复制高于复制，历史上只有一张清明上河图就离谱,5月4日 08:32
315,ka520zero,太震撼了！看的人激动澎湃,5月4日 08:32
316,NiccseKey,这个真的太牛了 希望这门手艺能一直传承一下,5月4日 08:31
317,跑调的美笙502,大师呀，好厉害,5月4日 08:31
318,小鱼来也·,好牛！！！！！！！！！！！！,5月4日 08:31
319,藏宫旅游咨询服务中心,哇塞,5月4日 08:31
320,极其个料的小蛮精,技近乎于道,5月4日 08:31
321,爱你呀Melody,服了服了,5月4日 08:31
322,NiccseKey,太牛了,5月4日 08:31
323,越来越优秀的小仙女,大国工匠～,5月4日 08:30
324,巴音布鲁克的海水,喜欢吗？,5月4日 08:30
325,寇杨ky,👍,5月4日 08:30
326,爱戴耳机的猪,传统工艺太厉害了，而继承传统工艺的人则让人多么的敬佩,5月4日 08:29
327,炯炯的百合,这是需要多大的耐力和心力，致敬匠心,5月4日 08:29
328,KYUBERRY,好厉害真的致敬！,5月4日 08:26
329,春花花的鱼子酱,太厉害了,5月4日 08:26
330,绒绒吧,工匠精神,5月4日 08:26
331,阿一阿二不阿三,匠人精神,5月4日 08:26
332,渊博的爱上五花肉,这东西可以摆进故宫了,5月4日 08:25
333,作业课代表,太厉害了,5月4日 08:25
334,粗獷男,大国工匠！,5月4日 08:23
335,写尽半生流年,高人身价倍增了,5月4日 08:22
336,旅意晓鱼90,好熟悉的莆田口音呀,5月4日 08:22
337,睡佈醒de迷糊琹,可能因为爷爷的故事特别佩服他们那辈工匠人的智慧😏,5月4日 08:22
338,FL肥嘟嘟,希望能一直传承下去,5月4日 08:21
339,薯片一片也不吃,太牛了,5月4日 08:21
340,我是三万五,惊呆了！,5月4日 08:21
341,单行道_没有轨迹,太帅了，在哪展出,5月4日 08:21
342,深蓝浅色,同样是手，看看自己的。。。。,5月4日 08:20
343,花儿对我笑aaa,大师啊,5月4日 08:20
344,懵懂的冰柠檬-06,厉害👍🏻,5月4日 08:19
345,奶糖Yann_,大国工匠每次看都是由衷的敬佩,5月4日 08:17
346,臭鹅蛋更香,这是艺术家啊,5月4日 08:17
347,黄肥月,卧槽,5月4日 08:17
348,草原上的云朵1987,立体的啊！牛！,5月4日 08:17
349,陈陈陈陈子曼,天啊在哪个博物馆可以看到呀？,5月4日 08:16
350,吃蝙蝠的给我出来,好厉害,5月4日 08:15
351,一只会哭的狗,我骄傲,5月4日 08:14
352,一如昨天那个你,真正的匠心独运啊，支持传统手工艺！,5月4日 08:13
353,想不出来名字是不是傻,太厉害了，震撼。,5月4日 08:12
354,空港谜鹿,这样的人是神仙吧,5月4日 08:12
355,土豆来一碗,牛逼牛逼,5月4日 08:12
356,司马东西范源庆,我的老天,5月4日 08:11
357,丐丐改改,哇、真厉害！,5月4日 08:11
358,李ooooooo,太厉害了,5月4日 08:11
359,正能青见,工匠精神，愿能代代相承,5月4日 08:11
360,一条小魔鬼鱼,太厉害了👍！！,5月4日 08:10
361,I辛夷I,高人,5月4日 08:10
362,风来舞之,太厉害了，这才叫艺术家啊！！,5月4日 08:09
363,我是珏哥,雕刻大师哇太厉害了,5月4日 08:09
364,刘董宝宝yxp,真的好棒，叹为观止！,5月4日 08:09
365,比大笨钟还笨耶,"一个字,绝！",5月4日 08:08
366,易家大夫人ML,我的妈呀，太厉害了,5月4日 08:08
367,他山青绕,我还以为雕刻的是一个平面，看了视频 竟然是3D的！不愧是大国工匠！！！,5月4日 08:08
368,minoz菜菜子,莆田啊 顶,5月4日 08:08
369,我是丑丑09,值得致敬！厉害,5月4日 08:07
370,Hewitt丶何为感动,栩栩如生！,5月4日 08:07
371,虾唱游鲤,我的天啊太厉害了 本开封人表示跪了,5月4日 08:06
372,安心蓝天,太绝了,5月4日 08:06
373,圆圆草,厉害厉害(✪▽✪),5月4日 08:06
374,美少女壮士D,我的个娘诶,5月4日 08:06
375,我只喜欢现男友,伟大,5月4日 08:06
376,素味007,太厉害了！,5月4日 08:05
377,啦啦暮霭,这么牛逼的吗,5月4日 08:05
378,lhjoooooo2016,太厉害了，敬佩,5月4日 08:05
379,李雨诺的酒窝,艺人,5月4日 08:05
380,安苏静画,牛逼！！！！佩服！！！,5月4日 08:05
381,教你认识简谱五线谱,匠人匠心,5月4日 08:04
382,行李箱掉个轮,世界上又一个无价之宝诞生了,5月4日 08:04
383,MT-MT-MT,防虫吗？,5月4日 08:04
384,丢了樱桃旳尐汍孖,太厉害了.壮观,5月4日 08:03
385,____Zhongyq琴,这也太厉害了吧！,5月4日 08:03
386,囡囡love,这就是艺术品啊，赶紧收藏,5月4日 08:03
387,dgamjwpmgt,我的天！！！！！厉害厉害厉害👍，工匠大师！！！！,5月4日 08:03
388,慕锋and恩,致敬工匠精神,5月4日 08:02
389,怡然自乐熙,太厉害了！,5月4日 08:02
390,小甜甜为梦想时刻准备着,惊叹于此，真的太厉害了吧！用传统工艺传承传统文化，不仅将《清明上河图》的繁华盛世再现，更让人忍不住去探求木雕的精益！,5月4日 08:01
391,你别唱歌耳朵会怀孕,除了厉害都不知道如何形容 太厉害了,5月4日 08:01
392,Supreuni,大国工匠！！！,5月4日 08:01
393,熊焗咖啡,我看呆了，牛人啊,5月4日 08:01
394,中年_少女,厉害，致敬工匠精神！,5月4日 08:01
395,茶茶的魔幻城堡,真正的“匠心精神”！,5月4日 08:01
396,Bing冰miu,觉着感动.,5月4日 08:00
397,水之寒远,这厂的老板何德何能请到这样的木雕师啊？,5月4日 08:00
398,屋用的,哇 真的好厉害,5月4日 08:00
399,我是特别浪且不靠普,我貌似在哪里看过，可是想不起来了,5月4日 07:59
400,不追拽人誓不为人,真是手艺人啊,5月4日 07:59
401,薛大酷,这是艺术，无价之宝,5月4日 07:59
402,我和奶茶都姓刘丶,第三行错了一个字，不是合在一棵树上，是刻,5月4日 07:59
403,ENDr-liang,大师啊,5月4日 07:58
404,保险经纪人方晶晶,高手在民间向手艺人致敬,5月4日 07:58
405,·佰變小櫻·,@·百变酒精·,5月4日 07:58
406,一米阳光的温度666,太厉害了，棒棒棒,5月4日 07:58
407,谢IUUU,匠心不怠，传承千年,5月4日 07:58
408,Tiamo-zss,好震撼，太厉害了,5月4日 07:57
409,三个胖子的基地,天啊，太棒了,5月4日 07:57
410,平凡而努力D人,鉴定完毕，无价之宝！,5月4日 07:57
411,水之寒远,高手果然在民间,5月4日 07:57
412,Yibo弟弟ISvSI千玺崽崽,太牛了,5月4日 07:57
413,凡尘悦木,手艺人太难了，康康我就知道了,5月4日 07:56
414,沈年年FEARLESS,情怀,5月4日 07:56
415,奋斗19250,太棒了,5月4日 07:55
416,白子奇的奇,盼望祖国早日统一！向传统手艺人致敬！,5月4日 07:55
417,桔子花开落漫天,真的强啊,5月4日 07:55
418,独1无2的Hsian,太牛了,5月4日 07:55
419,阿逸同学,哇……大触！,5月4日 07:55
420,Ya---LING,还以为是平面的，没想到是浮雕，牛逼,5月4日 07:54
421,十八岁的小号,看到了嘛，关于两岸统一没有谁比福建人的感觉更强烈了,5月4日 07:54
