序号,用户,评论,时间
16446,就是小妖精faye,昨晚临睡前看完的视频，梦里甚至都能感觉到有风吹过蓝布,3月23日 08:47
5515,知乎查也111,昨天做梦居然梦到子柒了，我说好喜欢你，你还留我在你家吃饭，尝遍了你视频里的嘛美食，呜呜X﹏X，太可了,3月27日 09:34
29139,薛兰05835,昨天只记得看你更新了，然后把其他的又再次的刷了一边忘记评论转发了。,3月21日 23:01
16030,言颜最好看了,昨天晚上看完就觉得，李子柒做个视频不容易啊，我不催更了,3月23日 09:25
30201,tt海的天边,昨天看完视频今天又重新看了一遍,3月21日 20:56
32703,小妖妖儿妖儿,昨天就看了可带孩子太忙现在趁哇睡赶紧来，我想办法各种玩具看书都不能吸引娃十分钟，我的老天你不会相信一个不会说话的娃居然昨天一个人站着看完你的视频不抢手机就那么目不转睛的看着我心都融化了，爱你柒！如果可以希望给娃来一件柒亲手做的娃名字的衣服，我希望她长大后和你一样美好，才人间值得！,3月21日 15:14
28089,其琛如云,昨天就激动到一个视频反反复复看了好几次，今天终于想起来转发了，希望姐姐多发视频，爱您！！！,3月22日 01:42
28730,七月的卡比巴拉_,昨天更新后就和办公室的小姐姐看了一遍，睡前再看一遍，最美人间四月天就要来啦。,3月21日 23:44
22621,SularMM,昨天电脑看了一遍，今天睡前又看一遍。 哎，这不就是我农学专业该干的活儿吗？,3月22日 21:45
29586,小鱼啾啾咪,昨天到今天 看了三遍 真的太厉害了,3月21日 22:16
1966,s长u沙喝f搽s娱乐oiwcfw,醉了……,4月3日 22:20
326,冉-梅-,最最最喜欢这个视频~,5月3日 17:56
22145,苗子-J,最最喜欢你这红披肩，也最喜欢看你穿这件的样子了，强行么么哒，你来了就好,3月22日 22:01
10010,长风破浪会有时68406,最于等到你，,3月23日 23:49
18112,一个很懒,最有烟火气的仙女,3月23日 01:02
23886,Mind-control-LH,最优秀的你,3月22日 21:02
11304,微信名也叫简静,最向往的生活方式就是像你那样，今天在田里忙了一天，累并快乐着，刚怀孕一个多月，希望宝宝出生后看到的是我亲手打造的小田园,3月23日 20:50
25689,李子柒是仙女叭,最向往的生活,3月22日 16:01
21105,口袋揣满小星星,最想中的一次,3月22日 22:36
26010,海是天的倒影xx,最喜欢这种非物质文化遗产的视频了,3月22日 14:40
7404,腾韩一Aurora,最喜欢他们两个的感觉了,3月25日 15:35
5613,美到惊天动地炸到无法无天,最喜欢你的视频了,3月27日 02:01
11674,大懒吃小懒,最喜欢你的视频了,3月23日 19:42
763,刹那芳华514,最喜欢蓝色了！无所不能的姑娘，四川人的骄傲～,4月19日 21:41
3646,Eason小小陈,最喜欢蓝色,3月29日 22:56
17441,V一逃之夭夭,最喜欢看子柒视频里的冬天，简直美如画，好喜欢这个蓝印花古风三件套啊，太美了,3月23日 04:34
20011,大大大大懒懒猪,最喜欢看我柒姐//,3月22日 23:17
10314,Ally莫莫,最喜欢看你的视频,3月23日 23:04
24794,告银瑶乀,最喜欢电视台的就是芒果台了,3月22日 19:52
833,如风沐桃,最喜欢的样子就是你的样子,4月17日 13:14
29010,Dear_zxy_,最喜欢的网红，没有之一。 总算盼到更新，好棒！！！ 看着都觉得是放松与享受……,3月21日 23:14
27330,那个可爱人儿,最喜欢的人，没有之一,3月22日 09:42
23111,立方体的新天地,最喜欢的你的视频了，没有之一,3月22日 21:29
26460,环艺班心理委员,最喜欢的梨花开了！,3月22日 13:06
6193,z西格玛,最喜欢的蓝色呢,3月26日 15:37
24701,如星光明媚,最喜欢的蓝色来了,3月22日 20:14
30355,吐口气儿成不了仙儿,最喜欢的蓝色！！！,3月21日 20:36
21317,D火锅侠,最喜欢的博主 就是更博太慢了 以前的都刷几遍了,3月22日 22:28
13865,Leasley__,最晚在youtube上就看了，好喜欢你，认真画画的时候太迷人了,3月23日 13:45
24309,蘑菇那花儿,最强动手，子柒,3月22日 20:48
28770,草尖上的流年,最朴素的颜色，却是那么的美丽,3月21日 23:40
28282,20xiaoxiao21,最佩服的小姐姐没有之一！！太厉害了我天！！,3月22日 00:53
30461,蓝洛凌,最佩服的人，没有之一,3月21日 20:19
7910,谁的脑袋瓦特啦,最佩服的女子,3月25日 08:44
16300,仙女菲7,最佩服的女人,3月23日 08:59
9429,Jay娜美,最美子柒,3月24日 10:34
14925,桀妍二二,最美中国味,3月23日 11:26
27858,粉象优选,最美中国风，顶你上热搜，顶顶顶顶顶顶顶顶顶顶,3月22日 05:02
6744,杨小寶的窝,最美手艺人李子柒实至名归,3月26日 00:24
12982,时府三爷,最美是你！！！,3月23日 15:57
5128,波澜漪,最美三个镜头分别是满缸的泡沫瞬间破灭 河边啪一声甩开衣裳 最后画人合一,3月27日 19:19
21125,Coco花样生活,最美人间四月天！,3月22日 22:35
20784,庭院深深露未晞,最美柒姐,3月22日 22:48
25329,蓝胖来找我,最美丽 最能干的子柒更博啦  在你不更文的期间  寻得蛛丝马迹在绿洲  专门下了绿洲APP  结果你却只发了几张照片就没踪影啦  你终于出来了,3月22日 17:45
6902,萬-兴,最美好的时光 无法用辞藻形容 春去冬来 与子共qi,3月25日 22:41
8229,笨拙的游走,最美好的生活，慢且深远，美的那么不自知,3月24日 23:41
18456,姚遥ann,最美还是中国风,3月23日 00:31
19905,Sunny爱煮美味,最美的子柒,3月22日 23:21
